what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1518697245511
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1518697249550
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1518697249641
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1518697255529
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1518697261211
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1518697277302
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1518697277462
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1518697284227
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1518697288096
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1518697304227
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1518697305286
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1518697348195
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1518697351950
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1518697351998
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1518697354398
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1518697371697
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1518697372693
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1518697378773
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1518697379011
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1518697389759
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1518697479403
