what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1536314081707
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1536314807385
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1536314827420
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1536314858066
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1536314871402
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1536314872681
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1536314873020
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1536314897158
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1536314975811
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1536314983352
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1536314996328
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1536315010773
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1536315036164
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1536315048902
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1536315052053
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1536315058479
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1536315071620
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1536315099871
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1536315102213
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1536315102630
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1536315140416
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1536315141462
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1536315142373
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1536315194068
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1536315197256
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1536315276507
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1536315278302
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1536315293317
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1536315295436
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1536315297040
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1536315341396
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1536315341899
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1536315341927
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1536315341960
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1536315341991
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1536315342024
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1536315342057
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1536315342089
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1536315342123
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1536315342155
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1536315342417
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1536315342636
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1536315343139
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1536315343172
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1536315343200
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1536315343233
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1536315343264
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1536315343451
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1536315343662
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1536315343887
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1536315344090
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1536315344309
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1536315397010
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1536315399003
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1536315399345
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1536315410217
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1536315429486
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1536315474139
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1536315978332
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1536315979243
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1536315980151
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1536316219343
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1536316241252
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1536316244407
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1536316244614
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1536316530045
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1536316542509
